order_date,product_id,LocationKey,ship_date,order_priority,ship_mode,customer_name,segment,sales,quantity,discount,profit,shipping_cost
15/02/2011,OFF-OIC-10004999,200,20/02/2011,Medium,Standard Class,Trudy Brown,Consumer,30,2,0%,12,0.95
18/03/2011,OFF-LA-10002272,201,23/03/2011,Medium,Standard Class,Darren Koutras,Consumer,17,2,0%,1.38,1.36
21/02/2011,OFF-FA-10003462,209,25/02/2011,Medium,Standard Class,Sarah Jordon,Consumer,21,2,0%,5.88,1.8
1/03/2011,OFF-BI-10003650,218,5/03/2011,Medium,Standard Class,Jeremy Farry,Consumer,18,2,0%,3.18,0.97
11/03/2011,FUR-FU-10001617,223,16/03/2011,Medium,Standard Class,Michelle Moray,Consumer,155,2,0%,43.4,6.49
1/03/2011,TEC-SHA-10004874,230,5/03/2011,Medium,Standard Class,Ruben Dartt,Consumer,588,2,0%,123.36,42.88
1/03/2011,TEC-STA-10004927,230,5/03/2011,Medium,Standard Class,Ruben Dartt,Consumer,221,2,0%,15.48,6.87
1/03/2011,OFF-TEN-10003211,230,5/03/2011,Medium,Standard Class,Ruben Dartt,Consumer,31,2,0%,14.28,0.81
8/03/2011,OFF-IBI-10004074,255,12/03/2011,Medium,Standard Class,Dennis Kane,Consumer,60,2,0%,23.88,5
14/03/2011,OFF-ST-10003221,268,19/03/2011,Medium,Standard Class,Jason Fortune-,Consumer,21,2,0%,5.7672,1.96
17/03/2011,OFF-AP-10001154,277,24/03/2011,Medium,Standard Class,Bradley Nguyen,Consumer,94,2,0%,36.5742,4.1
18/03/2011,OFF-AP-10004921,280,23/03/2011,Medium,Standard Class,Denise Leinenbach,Consumer,102,2,0%,40.88,5.78
21/03/2011,TEC-OKI-10001454,287,26/03/2011,Medium,Standard Class,Jason Fortune-,Consumer,105,2,0%,7.32,11.48
25/03/2011,OFF-AR-10003338,38,30/03/2011,Medium,Standard Class,Christina Anderson,Consumer,15,2,0%,3.72,1.35
25/03/2011,OFF-AR-10003829,38,30/03/2011,Medium,Standard Class,Christina Anderson,Consumer,7,2,0%,1.9024,0.46
28/03/2011,OFF-AR-10003684,151,2/04/2011,Medium,Standard Class,Sung Shariari,Consumer,100,2,0%,35.94,4.03
28/03/2011,OFF-BI-10004142,133,2/04/2011,Medium,Standard Class,Don Weiss,Consumer,11,2,0%,4.48,0.74
30/03/2011,OFF-ST-10001511,277,5/04/2011,Medium,Standard Class,Nat Carroll,Consumer,129,2,0%,6.465,8.19
31/03/2011,FUR-FU-10001252,313,4/04/2011,Medium,Standard Class,Larry Blacks,Consumer,110,2,0%,37.44,5.63
31/03/2011,OFF-AP-10002765,38,5/04/2011,Medium,Standard Class,Alex Avila,Consumer,53,2,0%,14.8344,3.17
31/03/2011,OFF-AR-10002433,313,4/04/2011,Medium,Standard Class,Larry Blacks,Consumer,21,2,0%,9.06,1.03
2/04/2011,TEC-PH-10001751,318,8/04/2011,Medium,Standard Class,Hunter Lopez,Consumer,1278,2,0%,460.08,34
6/04/2011,OFF-PA-10002196,140,12/04/2011,Medium,Standard Class,Magdelene Morse,Consumer,47,2,0%,17.04,3.7
6/04/2011,OFF-LA-10001284,140,12/04/2011,Medium,Standard Class,Magdelene Morse,Consumer,15,2,0%,0.72,0.93
22/04/2011,OFF-BI-10000816,353,28/04/2011,Medium,Standard Class,Sean O'Donnell,Consumer,41,2,0%,13.96,3.98
22/04/2011,OFF-EN-10000139,353,28/04/2011,Medium,Standard Class,Sean O'Donnell,Consumer,31,2,0%,5.32,1.45
27/04/2011,OFF-ROG-10004646,311,1/05/2011,Medium,Standard Class,Mike Gockenbach,Consumer,281,2,0%,2.76,14.99
27/04/2011,OFF-FA-10001113,114,3/05/2011,Medium,Standard Class,Roy Französisch,Consumer,25,2,0%,4.92,1.26
28/04/2011,OFF-ST-10003750,276,2/05/2011,Medium,Standard Class,David Philippe,Consumer,72,2,0%,7.88,3.24
29/04/2011,OFF-AR-10004109,105,6/05/2011,Medium,Standard Class,Eric Hoffmann,Consumer,66,2,0%,26.56,4.38
29/04/2011,TEC-PH-10000376,68,4/05/2011,Medium,Standard Class,Katherine Hughes,Consumer,20,2,0%,5.1948,1.92
29/04/2011,FUR-FU-10001424,155,4/05/2011,Medium,Standard Class,Lauren Leatherbury,Consumer,17,2,0%,5.9364,1.76
29/04/2011,OFF-LA-10001284,313,5/05/2011,Medium,Standard Class,Russell D'Ascenzo,Consumer,15,2,0%,0.72,0.55
3/05/2011,TEC-STA-10004181,5,9/05/2011,Medium,Standard Class,Cindy Chapman,Consumer,600,2,0%,66,52.98
3/05/2011,OFF-ST-10004315,306,8/05/2011,Medium,Standard Class,Jim Radford,Consumer,423,2,0%,21.12,17.25
3/05/2011,OFF-ACC-10000102,5,9/05/2011,Medium,Standard Class,Cindy Chapman,Consumer,101,2,0%,11.1,6.8
10/05/2011,OFF-PA-10004353,38,15/05/2011,Medium,Standard Class,Greg Matthias,Consumer,40,2,0%,19.1808,2.45
12/05/2011,OFF-EN-10004503,27,17/05/2011,Medium,Standard Class,Sanjit Chand,Consumer,48,2,0%,18.06,3.86
13/05/2011,OFF-EAT-10002463,311,17/05/2011,Medium,Standard Class,Benjamin Patterson,Consumer,53,2,0%,21.24,2.49
14/05/2011,TEC-SAM-10000345,310,21/05/2011,Medium,Standard Class,Brian DeCherney,Consumer,334,2,0%,9.96,17.64
14/05/2011,FUR-CH-10001810,86,19/05/2011,Medium,Standard Class,Sandra Glassco,Consumer,96,2,0%,3.84,7.78
14/05/2011,OFF-ACM-10002816,310,21/05/2011,Medium,Standard Class,Brian DeCherney,Consumer,59,2,0%,24.24,2.85
17/05/2011,OFF-PA-10004589,98,23/05/2011,Medium,Standard Class,Dana Kaydos,Consumer,62,2,0%,14.28,4.67
19/05/2011,OFF-EN-10003623,417,24/05/2011,Medium,Standard Class,Maribeth Schnelling,Consumer,64,2,0%,12.72,6.55
22/05/2011,TEC-PH-10002660,328,29/05/2011,Medium,Standard Class,Evan Henry,Consumer,136,2,0%,33.995,6
23/05/2011,OFF-SU-10003002,155,27/05/2011,Medium,Standard Class,Greg Tran,Consumer,5,2,0%,0.1512,0.07
25/05/2011,OFF-BIN-10000712,171,30/05/2011,Medium,Standard Class,Lauren Leatherbury,Consumer,103,2,0%,19.5,9.87
25/05/2011,OFF-SAN-10001634,171,30/05/2011,Medium,Standard Class,Lauren Leatherbury,Consumer,102,2,0%,13.2,7.52
25/05/2011,OFF-PA-10001471,155,29/05/2011,Medium,Standard Class,Barry Weirich,Consumer,15,2,0%,6.7252,0.31
27/05/2011,OFF-EN-10002674,78,2/06/2011,Medium,Standard Class,Roy Collins,Consumer,63,2,0%,24,3.69
27/05/2011,OFF-SU-10003040,78,2/06/2011,Medium,Standard Class,Roy Collins,Consumer,44,2,0%,6.52,2.76
27/05/2011,OFF-AR-10004173,78,2/06/2011,Medium,Standard Class,Roy Collins,Consumer,14,2,0%,6.16,1.32
30/05/2011,FUR-BO-10004980,429,5/06/2011,Medium,Standard Class,Liz Carlisle,Consumer,489,2,0%,29.32,34.39
31/05/2011,TEC-CO-10001567,218,5/06/2011,Medium,Standard Class,Jocasta Rupert,Consumer,524,2,0%,5.22,52.53
3/06/2011,TEC-AC-10003105,447,7/06/2011,Medium,Standard Class,Ionia McGrath,Consumer,61,2,0%,26.04,3.43
3/06/2011,OFF-BIN-10004512,15,9/06/2011,Medium,Standard Class,Robert Waldorf,Consumer,24,2,0%,0,1.84
3/06/2011,OFF-HON-10000966,15,9/06/2011,Medium,Standard Class,Robert Waldorf,Consumer,13,2,0%,0.12,0.82
4/06/2011,FUR-FU-10002878,155,9/06/2011,Medium,Standard Class,Bobby Trafton,Consumer,57,2,0%,21.0752,4.73
4/06/2011,FUR-FU-10002191,155,9/06/2011,Medium,Standard Class,Bobby Trafton,Consumer,14,2,0%,6.7008,1.2
7/06/2011,OFF-SU-10003082,260,11/06/2011,Medium,Standard Class,Katherine Hughes,Consumer,53,2,0%,12.08,4.59
8/06/2011,TEC-CO-10002817,455,13/06/2011,Medium,Standard Class,Frank Olsen,Consumer,336,2,0%,114.36,22.63
8/06/2011,OFF-TEN-10000794,210,14/06/2011,Medium,Standard Class,Becky Pak,Consumer,107,2,0%,12.84,10.3
8/06/2011,OFF-EN-10003444,28,14/06/2011,Medium,Standard Class,Gary Hwang,Consumer,24,2,0%,6.72,1.41
9/06/2011,TEC-AC-10000890,86,13/06/2011,Medium,Standard Class,Jamie Kunitz,Consumer,345,2,0%,117.36,25.61
9/06/2011,OFF-OIC-10001056,14,15/06/2011,Medium,Standard Class,Ivan Liston,Consumer,38,2,0%,19.2,2.82
18/06/2011,FUR-BO-10003028,63,22/06/2011,Medium,Standard Class,Jay Fein,Consumer,338,2,0%,138.72,25.35
21/06/2011,OFF-SME-10004370,485,25/06/2011,Medium,Standard Class,Andrew Allen,Consumer,255,2,0%,2.52,22.91
21/06/2011,OFF-ACC-10000497,485,25/06/2011,Medium,Standard Class,Andrew Allen,Consumer,28,2,0%,6.48,3.71
21/06/2011,OFF-STA-10000155,485,25/06/2011,Medium,Standard Class,Andrew Allen,Consumer,56,2,0%,2.22,2.24
21/06/2011,OFF-LA-10001764,205,25/06/2011,Medium,Standard Class,Carol Triggs,Consumer,10,2,0%,0.48,0.48
21/06/2011,OFF-ST-10003606,205,25/06/2011,Medium,Standard Class,Carol Triggs,Consumer,22,2,0%,5.4,0.47
22/06/2011,OFF-BI-10000871,215,26/06/2011,Medium,Standard Class,Giulietta Weimer,Consumer,23,2,0%,7.14,2.46
23/06/2011,TEC-PH-10004888,70,27/06/2011,Medium,Standard Class,Mark Van Huff,Consumer,223,2,0%,109.04,17.34
23/06/2011,OFF-SU-10000649,146,28/06/2011,Medium,Standard Class,Darren Koutras,Consumer,71,2,0%,0.66,4.21
24/06/2011,TEC-SAN-10002684,249,29/06/2011,Medium,Standard Class,John Huston,Consumer,80,2,0%,3.18,7.18
30/06/2011,OFF-LA-10002199,260,5/07/2011,Medium,Standard Class,Sally Knutson,Consumer,11,2,0%,3.72,0.93
2/07/2011,TEC-PH-10002923,176,6/07/2011,Medium,Standard Class,Eric Hoffmann,Consumer,74,2,0%,19.9746,6.15
6/07/2011,OFF-AR-10000851,202,10/07/2011,Medium,Standard Class,Carl Ludwig,Consumer,91,2,0%,19.98,6.15
6/07/2011,OFF-LA-10003381,202,10/07/2011,Medium,Standard Class,Carl Ludwig,Consumer,19,2,0%,9.66,1.54
8/07/2011,FUR-FU-10002890,511,13/07/2011,Medium,Standard Class,Roy Collins,Consumer,214,2,0%,27.78,20.69
9/07/2011,OFF-AP-10001635,512,13/07/2011,Medium,Standard Class,Michelle Moray,Consumer,1057,2,0%,412.32,58.91
9/07/2011,FUR-FU-10000620,512,13/07/2011,Medium,Standard Class,Michelle Moray,Consumer,103,2,0%,29.76,9.56
12/07/2011,FUR-OFF-10000344,514,17/07/2011,Medium,Standard Class,Liz Pelletier,Consumer,116,2,0%,16.2,6.22
12/07/2011,TEC-AC-10000397,95,18/07/2011,Medium,Standard Class,Christy Brittain,Consumer,81,2,0%,9.72,4.89
21/07/2011,TEC-PH-10001478,197,27/07/2011,Medium,Standard Class,Anna Andreadi,Consumer,149,2,0%,46.08,14.25
21/07/2011,TEC-PH-10004100,525,27/07/2011,Medium,Standard Class,Patrick Gardner,Consumer,36,2,0%,10.0744,1.73
26/07/2011,FUR-CH-10000553,41,1/08/2011,Medium,Standard Class,Sheri Gordon,Consumer,68,2,0%,18.3276,5.57
28/07/2011,OFF-PA-10003416,215,2/08/2011,Medium,Standard Class,Bradley Drucker,Consumer,33,2,0%,3.3,3.17
30/07/2011,TEC-OKI-10000794,7,5/08/2011,Medium,Standard Class,Sanjit Chand,Consumer,101,2,0%,1.98,3.57
1/08/2011,FUR-SAF-10002180,529,6/08/2011,Medium,Standard Class,Chuck Sachs,Consumer,923,2,0%,9.18,69.1
2/08/2011,TEC-AC-10004406,121,6/08/2011,Medium,Standard Class,Jeremy Farry,Consumer,143,2,0%,9.96,7.29
2/08/2011,OFF-EN-10003675,364,9/08/2011,Medium,Standard Class,Eric Murdock,Consumer,62,2,0%,29.8,2.88
3/08/2011,FUR-NOV-10000123,538,9/08/2011,Medium,Standard Class,Raymond Messe,Consumer,263,2,0%,47.28,18.36
3/08/2011,OFF-PA-10001019,155,8/08/2011,Medium,Standard Class,Berenike Kampe,Consumer,40,2,0%,18.7812,3.77
3/08/2011,OFF-ST-10003221,155,8/08/2011,Medium,Standard Class,Berenike Kampe,Consumer,21,2,0%,5.7672,1.39
4/08/2011,TEC-NOK-10002716,449,9/08/2011,Medium,Standard Class,Ritsa Hightower,Consumer,333,2,0%,49.98,24.14
5/08/2011,OFF-PA-10001144,38,9/08/2011,Medium,Standard Class,Chad Sievert,Consumer,111,2,0%,53.2608,4.59
5/08/2011,OFF-AR-10004602,38,11/08/2011,Medium,Standard Class,Sonia Sunley,Consumer,46,2,0%,12.8744,4.43
5/08/2011,OFF-ST-10000321,38,11/08/2011,Medium,Standard Class,Sonia Sunley,Consumer,16,2,0%,0.6312,0.29
6/08/2011,TEC-AC-10004571,155,11/08/2011,Medium,Standard Class,Trudy Brown,Consumer,200,2,0%,83.9916,15.52
8/08/2011,FUR-CH-10000432,174,12/08/2011,Medium,Standard Class,Khloe Miller,Consumer,365,2,0%,21.9,40.68
8/08/2011,OFF-AP-10004708,38,15/08/2011,Medium,Standard Class,Lena Radford,Consumer,76,2,0%,22.0748,6.7
11/08/2011,OFF-AP-10002568,120,16/08/2011,Medium,Standard Class,Janet Martin,Consumer,114,2,0%,34.14,7.54
11/08/2011,OFF-FA-10004854,172,15/08/2011,Medium,Standard Class,Greg Matthias,Consumer,23,2,0%,10.7912,1.84
13/08/2011,TEC-CIS-10000436,39,17/08/2011,Medium,Standard Class,Alan Hwang,Consumer,277,2,0%,11.04,20.15
16/08/2011,OFF-FA-10004754,109,20/08/2011,Medium,Standard Class,Muhammed Lee,Consumer,32,2,0%,8.64,2.48
18/08/2011,TEC-PH-10001354,42,22/08/2011,Medium,Standard Class,Shirley Jackson,Consumer,262,2,0%,73.38,22.27
18/08/2011,TEC-MA-10003975,42,22/08/2011,Medium,Standard Class,Shirley Jackson,Consumer,162,2,0%,74.46,9.65
18/08/2011,TEC-PH-10004263,166,22/08/2011,Medium,Standard Class,Liz MacKendrick,Consumer,304,2,0%,75.9,8.31
18/08/2011,OFF-AVE-10000585,574,23/08/2011,Medium,Standard Class,Patrick O'Donnell,Consumer,18,2,0%,5.7,0.8
20/08/2011,FUR-BO-10004670,235,24/08/2011,Medium,Standard Class,Erica Hackney,Consumer,730,2,0%,124.02,37.99
23/08/2011,OFF-LA-10003210,82,27/08/2011,Medium,Standard Class,Chris Cortes,Consumer,26,2,0%,7.14,1.88
24/08/2011,TEC-PH-10001575,407,31/08/2011,Medium,Standard Class,Angele Hood,Consumer,87,2,0%,31.32,6.13
24/08/2011,OFF-AR-10001228,9,28/08/2011,Medium,Standard Class,Clay Cheatham,Consumer,51,2,0%,16.74,3.88
27/08/2011,OFF-ACC-10004182,588,2/09/2011,Medium,Standard Class,Erica Smith,Consumer,18,2,0%,3.9,1.11
31/08/2011,OFF-ACM-10004587,481,5/09/2011,Medium,Standard Class,Clay Cheatham,Consumer,50,2,0%,23.34,4.43
2/09/2011,OFF-BI-10001359,107,7/09/2011,Medium,Standard Class,Sanjit Chand,Consumer,1794,2,0%,843.1706,68.65
2/09/2011,OFF-STA-10001968,249,8/09/2011,Medium,Standard Class,Allen Armold,Consumer,105,2,0%,46.32,7.79
5/09/2011,OFF-EN-10003632,215,11/09/2011,Medium,Standard Class,Jessica Myrick,Consumer,72,2,0%,10.74,8.46
5/09/2011,FUR-FU-10004689,28,11/09/2011,Medium,Standard Class,Karl Braun,Consumer,40,2,0%,8.04,0.64
6/09/2011,OFF-AP-10003382,9,11/09/2011,Medium,Standard Class,Sean O'Donnell,Consumer,1119,2,0%,246.24,78.15
6/09/2011,OFF-BI-10002364,174,13/09/2011,Medium,Standard Class,Matt Collins,Consumer,33,2,0%,8.94,2.09
8/09/2011,TEC-AC-10001383,38,12/09/2011,Medium,Standard Class,Gary Zandusky,Consumer,50,2,0%,8.4966,2.16
9/09/2011,TEC-AC-10003955,429,13/09/2011,Medium,Standard Class,Bill Donatelli,Consumer,325,2,0%,149.64,0.48
14/09/2011,OFF-BI-10001890,41,19/09/2011,Medium,Standard Class,John Castell,Consumer,7,2,0%,3.4368,0.52
15/09/2011,OFF-ST-10004597,9,22/09/2011,Medium,Standard Class,Duane Benoit,Consumer,281,2,0%,2.76,19.59
15/09/2011,FUR-FU-10003451,146,20/09/2011,Medium,Standard Class,Nathan Cano,Consumer,233,2,0%,18.6,11.72
15/09/2011,OFF-FA-10000577,205,20/09/2011,Medium,Standard Class,Max Engle,Consumer,27,2,0%,13.38,2.49
15/09/2011,FUR-FU-10002456,155,20/09/2011,Medium,Standard Class,Alex Avila,Consumer,15,2,0%,6.2608,1.31
16/09/2011,OFF-LA-10000438,2,21/09/2011,Medium,Standard Class,Roy Collins,Consumer,22,2,0%,10.86,1.28
17/09/2011,FUR-FU-10004671,172,21/09/2011,Medium,Standard Class,Bradley Nguyen,Consumer,35,2,0%,13.4292,2.67
17/09/2011,OFF-ST-10004963,172,21/09/2011,Medium,Standard Class,Bradley Nguyen,Consumer,30,2,0%,1.2112,2.45
20/09/2011,TEC-AC-10003628,343,24/09/2011,Medium,Standard Class,Duane Noonan,Consumer,60,2,0%,26.3912,4.24
20/09/2011,OFF-LA-10001569,38,26/09/2011,Medium,Standard Class,Erica Smith,Consumer,10,2,0%,4.5816,0.2
22/09/2011,OFF-ST-10002301,38,28/09/2011,Medium,Standard Class,Sanjit Engle,Consumer,41,2,0%,0.4068,3.03
23/09/2011,OFF-TEN-10002835,5,30/09/2011,Medium,Standard Class,Don Weiss,Consumer,409,2,0%,114.54,14.45
23/09/2011,OFF-BI-10000301,277,28/09/2011,Medium,Standard Class,Sanjit Chand,Consumer,13,2,0%,6.47,1.04
26/09/2011,TEC-MEM-10000919,287,30/09/2011,Medium,Standard Class,Valerie Dominguez,Consumer,143,2,0%,5.7,11.1
26/09/2011,TEC-PH-10000647,109,1/10/2011,Medium,Standard Class,Denise Leinenbach,Consumer,131,2,0%,37.86,9.41
26/09/2011,OFF-IBI-10000099,287,30/09/2011,Medium,Standard Class,Valerie Dominguez,Consumer,30,2,0%,2.64,2.6
27/09/2011,FUR-CH-10000852,11,4/10/2011,Medium,Standard Class,Ritsa Hightower,Consumer,78,2,0%,35.92,3.38
28/09/2011,OFF-BI-10003642,111,3/10/2011,Medium,Standard Class,Cassandra Brandow,Consumer,26,2,0%,8.04,1.48
28/09/2011,OFF-ELD-10000024,266,4/10/2011,Medium,Standard Class,Roland Murray,Consumer,34,2,0%,5.76,1.19
29/09/2011,OFF-SU-10004435,28,5/10/2011,Medium,Standard Class,Alan Barnes,Consumer,90,2,0%,30.42,9.6
3/10/2011,FUR-BO-10001621,580,9/10/2011,Medium,Standard Class,Arthur Gainer,Consumer,242,2,0%,101.64,28.12
4/10/2011,TEC-CAN-10002879,637,10/10/2011,Medium,Standard Class,Alejandro Grove,Consumer,521,2,0%,93.72,30.83
4/10/2011,OFF-SU-10000085,86,9/10/2011,Medium,Standard Class,Amy Hunt,Consumer,54,2,0%,20.12,4.19
7/10/2011,TEC-ENE-10004728,150,11/10/2011,Medium,Standard Class,Adam Shillingsburg,Consumer,163,2,0%,81.24,9.93
8/10/2011,OFF-EN-10004744,160,15/10/2011,Medium,Standard Class,Jamie Frazer,Consumer,84,2,0%,16.8,2.82
13/10/2011,OFF-AP-10002793,201,19/10/2011,Medium,Standard Class,Ralph Ritter,Consumer,1139,2,0%,284.76,110.3
15/10/2011,OFF-AP-10004913,102,19/10/2011,Medium,Standard Class,Jack Garza,Consumer,703,2,0%,161.72,62.4
19/10/2011,OFF-AR-10000681,655,26/10/2011,Medium,Standard Class,Jas O'Carroll,Consumer,99,2,0%,13.86,6.75
19/10/2011,OFF-EN-10002013,9,24/10/2011,Medium,Standard Class,Sandra Flanagan,Consumer,34,2,0%,12.18,2.2
20/10/2011,OFF-SME-10002467,52,27/10/2011,Medium,Standard Class,Vivian Mathis,Consumer,13,2,0%,3.36,0.74
27/10/2011,OFF-FEL-10001630,625,1/11/2011,Medium,Standard Class,Russell D'Ascenzo,Consumer,416,2,0%,182.82,17.02
28/10/2011,TEC-CO-10003561,297,3/11/2011,Medium,Standard Class,Nora Paige,Consumer,475,2,0%,85.5,30.93
28/10/2011,OFF-ST-10004768,264,3/11/2011,Medium,Standard Class,Lena Hernandez,Consumer,397,2,0%,166.62,19.79
28/10/2011,OFF-ST-10001694,264,3/11/2011,Medium,Standard Class,Lena Hernandez,Consumer,35,2,0%,11.16,0.34
31/10/2011,OFF-NOV-10002952,607,4/11/2011,Medium,Standard Class,Shui Tom,Consumer,13,2,0%,5.88,1.35
2/11/2011,TEC-AC-10000398,124,7/11/2011,Medium,Standard Class,Cynthia Arntzen,Consumer,228,2,0%,0,8.4
3/11/2011,TEC-MA-10002712,350,8/11/2011,Medium,Standard Class,Guy Thornton,Consumer,537,2,0%,144.96,23.42
4/11/2011,OFF-AVE-10004251,471,8/11/2011,Medium,Standard Class,Hunter Glantz,Consumer,98,2,0%,11.7,8.32
4/11/2011,OFF-BI-10003708,9,9/11/2011,Medium,Standard Class,Paul MacIntyre,Consumer,26,2,0%,10.02,1.54
7/11/2011,OFF-ST-10002214,167,12/11/2011,Medium,Standard Class,Maribeth Schnelling,Consumer,23,2,0%,5.8708,1.89
10/11/2011,OFF-EN-10004571,28,17/11/2011,Medium,Standard Class,Sarah Foster,Consumer,44,2,0%,20.4,3.04
10/11/2011,OFF-AR-10000066,693,16/11/2011,Medium,Standard Class,Russell D'Ascenzo,Consumer,22,2,0%,5.28,1.35
10/11/2011,OFF-AR-10001149,108,16/11/2011,Medium,Standard Class,Sam Craven,Consumer,4,2,0%,1.521,0.3
11/11/2011,OFF-AR-10002783,36,16/11/2011,Medium,Standard Class,Bruce Stewart,Consumer,50,2,0%,3,3.19
11/11/2011,OFF-BI-10001248,276,18/11/2011,Medium,Standard Class,Neola Schneider,Consumer,17,2,0%,1.2,1.59
11/11/2011,OFF-FA-10000563,371,15/11/2011,Medium,Standard Class,Dave Kipp,Consumer,16,2,0%,6.84,1.57
11/11/2011,OFF-AR-10002096,276,18/11/2011,Medium,Standard Class,Neola Schneider,Consumer,34,2,0%,2.36,0.52
15/11/2011,FUR-BO-10002708,265,20/11/2011,Medium,Standard Class,Susan Vittorini,Consumer,728,2,0%,79.98,72.4
15/11/2011,TEC-PH-10002218,21,20/11/2011,Medium,Standard Class,Sarah Bern,Consumer,168,2,0%,6.72,10.25
15/11/2011,OFF-AR-10000307,265,20/11/2011,Medium,Standard Class,Susan Vittorini,Consumer,49,2,0%,19.44,3.92
15/11/2011,OFF-BI-10003058,265,20/11/2011,Medium,Standard Class,Susan Vittorini,Consumer,27,2,0%,10.92,1.47
18/11/2011,OFF-PA-10000383,555,25/11/2011,Medium,Standard Class,Sarah Foster,Consumer,62,2,0%,3.12,2.68
21/11/2011,OFF-SU-10003739,36,27/11/2011,Medium,Standard Class,Nat Carroll,Consumer,69,2,0%,26.7,6.57
23/11/2011,OFF-EN-10002850,140,29/11/2011,Medium,Standard Class,Alex Grayson,Consumer,47,2,0%,17.82,5.52
23/11/2011,OFF-BI-10003899,140,29/11/2011,Medium,Standard Class,Alex Grayson,Consumer,56,2,0%,0,4.67
26/11/2011,OFF-HON-10003010,451,1/12/2011,Medium,Standard Class,Mick Brown,Consumer,14,2,0%,4.5,1.53
27/11/2011,OFF-FA-10003021,155,3/12/2011,Medium,Standard Class,Maxwell Schwartz,Consumer,4,2,0%,1.316,0.25
29/11/2011,OFF-LA-10002762,155,6/12/2011,Medium,Standard Class,Philip Brown,Consumer,25,2,0%,11.7782,1.32
30/11/2011,TEC-BRO-10004802,712,5/12/2011,Medium,Standard Class,John Stevenson,Consumer,633,2,0%,139.32,37.65
30/11/2011,OFF-PA-10004854,40,6/12/2011,Medium,Standard Class,Kunst Miller,Consumer,64,2,0%,12.2,4.32
30/11/2011,OFF-IBI-10004916,713,4/12/2011,Medium,Standard Class,Michelle Huthwaite,Consumer,28,2,0%,10.32,1.71
30/11/2011,OFF-FA-10004516,40,6/12/2011,Medium,Standard Class,Kunst Miller,Consumer,19,2,0%,0.16,1.09
1/12/2011,OFF-AR-10002486,473,6/12/2011,Medium,Standard Class,Becky Martin,Consumer,39,2,0%,11.2,2.25
1/12/2011,OFF-PA-10002363,105,5/12/2011,Medium,Standard Class,Kelly Andreada,Consumer,27,2,0%,8.44,1.97
3/12/2011,OFF-BIN-10000837,719,10/12/2011,Medium,Standard Class,Charles Crestani,Consumer,49,2,0%,19.44,3.6
5/12/2011,OFF-ST-10002444,64,12/12/2011,Medium,Standard Class,Roy Collins,Consumer,25,2,0%,6.8768,1.74
7/12/2011,TEC-PAN-10000979,185,13/12/2011,Medium,Standard Class,Zuschuss Donatelli,Consumer,242,2,0%,62.82,21.8
